id,title,domain,severity,effort,files,evidence,recommendation,cve
ARCH-01,Detectors ignore central Settings; 210 hardcoded thresholds,architecture,High,L,src/image_preprocessing_detector/detection/;src/image_preprocessing_detector/core/config.py,"core/config.py imported by 4 files, none in detection/; 210 hardcoded float literals across detection/*.py (e.g. blank_page_detector.py:49, discrepancy.py:170)",Route detector thresholds through core.Settings or per-detector config loaded from it; centralize tuning.,
CQ-02,"Oversized modules; iqa_classical.py is 2,845 lines",code-quality,High,L,src/image_preprocessing_detector/detection/iqa_classical.py;src/image_preprocessing_detector/synthetic/generator.py,"iqa_classical.py 2845 lines / 67 functions; generator.py 1735, iqa_ml.py 1520, dqs_calculator.py 1507, schema.py 1411; top-20 src files all >800 lines",Split iqa_classical.py one module per detector; extract long methods.,
DEP-02,Two divergent copies of the autogenerated requirements files,dependencies,Medium,S,requirements.txt;requirements/,"Both root and requirements/ carry the same uv-export header but drift: gitpython 3.1.46 vs 3.1.49; root copies last changed 2026-03-07, requirements/ on 2026-05-07","Keep one canonical location, delete the other, add a CI check that fails if uv export differs from the committed file.",
DEP-04,Unpinned doclayout-yolo and abandoned fasttext,dependencies,Medium,S,pyproject.toml,"doclayout-yolo declared bare (no version), resolves 0.0.4; fasttext>=0.9.3 resolves 0.9.3, no PyPI release since Apr 2024 (18+ months)",Add version floor and upper bound for doclayout-yolo; document fasttext as frozen or evaluate lingua/fasttext-wheel.,
CQ-04,"59 type/pyright-ignores, 14 clustered in monitoring/__init__.py",code-quality,Medium,S,src/image_preprocessing_detector/monitoring/__init__.py,grep type:/pyright: ignore = 59 in src; monitoring/__init__.py holds 14 (24%),Audit the 14 ignores in monitoring/__init__.py; clusters usually mean one untyped import a stub/cast fixes.,
CQ-09,Zero-assert security test file; 138 runtime skips,code-quality,Medium,S,tests/security/test_codeql_validation.py;tests/conftest.py,test_codeql_validation.py has no assert/raises (bodies are try/except pass CodeQL bait); 138 pytest.skip() runtime guards mostly fixture-availability,Mark the file as a static-analysis fixture not a pytest test; audit how many fixture-skips fire in CI.,
ARCH-05,Three model lineages coexist in detection/; production path unmarked,architecture,Medium,S,src/image_preprocessing_detector/detection/;CLAUDE.md,"detection/ contains siglip2_multitask.py, iqa_ml.py (ResNet), doclayout_yolo.py simultaneously; CLAUDE.md presents conflicting current models",Mark production vs retired model modules in detection/__init__.py; pick authoritative pipeline in CLAUDE.md.,
ARCH-07,AGENTS/CONTRIBUTING prescribe Poetry/Black/isort/mypy; module map stale,architecture,Medium,S,CONTRIBUTING.md;AGENTS.md,"CONTRIBUTING.md:44-46,105-134 and AGENTS.md:11-19 say poetry/black/isort/mypy; reality uv+ruff+basedpyright; AGENTS.md:7 omits annotation/labeling/synthetic/drift",Update both docs to uv+ruff+basedpyright; expand module map to list the largest subpackages.,
SEC-03,torch.load(weights_only=False) on config-driven checkpoints,security,Medium,S,src/image_preprocessing_detector/detection/siglip2_multitask.py;scripts/run_model_benchmark.py,"siglip2_multitask.py:236-239 and run_model_benchmark.py:331,542,825,931 use weights_only=False; regression.py:171 already uses weights_only=True (inconsistent)",Use weights_only=True for plain state_dicts or prefer safetensors; document trust boundary for remaining calls.,
CI-02,mypy config drifts between pre-commit and CI,cicd,Medium,S,.pre-commit-config.yaml;.github/workflows/ci.yml,pre-commit (:66) runs mypy v1.8.0 with --ignore-missing-imports and ~9 excluded files; ci.yml:316 runs mypy src --config-file=pyproject.toml full scope,Point pre-commit mypy at the same config and scope as CI; align pinned version with uv-resolved one.,
CI-03,.semgrep.yaml ruleset executed by no workflow,cicd,Medium,S,.semgrep.yaml;.github/workflows/security-analysis.yml,grep semgrep in workflows matches only sonarcloud.yml nosemgrep comments; security-analysis.yml:257-258 delegates semgrep to Cloud App; local ruleset never run,"Add 'semgrep --config .semgrep.yaml' to security-analysis.yml, document the cloud app consumes it, or delete the file.",
CI-04,"bandit scan is non-blocking, contradicting stated policy",cicd,Medium,S,.github/workflows/security-analysis.yml,security-analysis.yml:250-255 runs 'bandit -r src ... || true' twice; CLAUDE.md says fail on HIGH/CRITICAL,"Drop '|| true' or gate on severity (bandit -r src -ll), keep JSON artifact upload under if: always().",
DOC-06,Hardcoded foreign path /home/byron in CLAUDE.md setup commands,docs,Medium,S,CLAUDE.md,"CLAUDE.md:331,1022 PYTHONPATH=/home/byron/dev/image_detection (does not exist on clone); 949 /home/byron + /mnt/e hits across docs",Replace with PYTHONPATH=$(pwd) or repo root; sweep the doc-wide hits.,
DOC-07,"Stale '1,292 files mapped' count; inventory self-flagged STALE",docs,Medium,S,CLAUDE.md;docs/architecture/FILE_INVENTORY_WITH_WORKSTREAM_MAPPINGS.md,"CLAUDE.md:50 '1,292 files mapped'; target file header flags STALE (Jan 2025); repo now 3,834 tracked files, 971 .py",Drop the count from CLAUDE.md or replace with a regenerate-via-script pointer.,
DEP-03,Base runtime still targets Python 3.10 (EOL ~Oct 2026),dependencies,Medium,M,pyproject.toml;uv.lock,"pyproject.toml:9 requires-python >=3.10,<3.15; CPython 3.10 end of security support Oct 2026 (~5 months from audit)",Plan to raise floor to >=3.11 before Oct 2026; verify no dep needs 3.10 resolution. Crosses to High inside the 6-month window.,
CQ-03,815 Any annotations weaken strict typing on src,code-quality,Medium,M,src/image_preprocessing_detector/logging/__init__.py;src/image_preprocessing_detector/cli.py,"grep Any in src = 815; worst logging/__init__.py 26, cli.py 20, synthetic/validation.py 18; basedpyright is strict on src",Replace boundary Any with TypedDict/pydantic models where shape is known; keep Any only at dynamic edges with a comment.,
ARCH-04,Layering inversion: top-level schema.py imports annotation subpackage,architecture,Medium,M,src/image_preprocessing_detector/schema.py;src/image_preprocessing_detector/annotation/schemas/enums.py,"schema.py:19 imports annotation.schemas.enums.CaptureMethod; schema.py imported by 17 files yet depends down into annotation/ (latent inversion, no cycle yet)",Move shared enums to schema_utils/ or a new core/enums.py so base schema does not depend on annotation.,
SEC-02,trust_remote_code=True on caller-supplied model ids (17 occurrences),security,Medium,M,src/image_preprocessing_detector/labeling/arena/inference/regression.py;src/image_preprocessing_detector/annotation/enrichment/providers/siglip.py,"regression.py:189,209,215 and siglip.py:278,282 pass trust_remote_code=True on caller-supplied model_path/spec.id; 17 total in src/scripts/modal",Set trust_remote_code=False for first-party checkpoints; gate True behind an allowlist and pin revision to a full SHA.,
CI-06,"sonarcloud re-runs full pytest on every PR, duplicating ci.yml",cicd,Medium,M,.github/workflows/sonarcloud.yml;.github/workflows/ci.yml,"sonarcloud.yml:25-26 triggers on every PR, :103 runs pytest --cov; ci.yml:173,236 already runs pytest with coverage across 5 versions",Have sonarcloud consume ci.yml coverage artifact via workflow_run + download-artifact (same pattern as codecov.yml).,
DOC-04,18 broken relative links in README,docs,Medium,M,README.md,"18 MISSING link targets incl. docs/planning/PROJECT_PLAN.md (the '114-page plan', linked twice at :250,:347), docs/architecture/ARCHITECTURE_SUMMARY.md, docs/api-reference.md",Repoint to current paths (e.g. docs/planning/MASTER_PROJECT_PLAN.md) or remove dead entries.,
ARCH-06,"annotation/ god-package: 33% of LOC, own CLI/logging/config/metrics",architecture,Medium,L,src/image_preprocessing_detector/annotation/,"annotation/ = 130 .py files, 34,787 LOC (33% of package); has own cli.py (annotate entry point), monitoring/logging.py, config/settings.py, metrics",Treat annotation/ as a candidate for extraction into its own package or document it as a distinct application boundary.,
DEP-05,SBOM excludes the iqa extra (pyiqa) by design,dependencies,Low,S,.github/workflows/sbom.yml,sbom.yml:55-70 omits --extra iqa due to conflicting transformers pins; comment states 'only package missed is pyiqa',"Generate a separate SBOM for the iqa extra and merge, or note the gap in SBOM metadata.",
LEG-02,Unreferenced deprecated datetime compat shims (0 call sites),legacy-code,Low,S,src/image_preprocessing_detector/utils/datetime_compat.py,utcnow_compat() :305 and utcfromtimestamp_compat() :317 self-documented deprecated; zero call sites outside the file,Delete the two *_compat() shims; no consumers.,
LEG-03,Unreferenced deprecated alias ValidationResult,legacy-code,Low,S,src/image_preprocessing_detector/annotation/integrity/checkpointing.py,checkpointing.py:463 ValidationResult = CheckpointValidationResult tagged deprecated; no usages of the alias name elsewhere,Remove the alias; nothing imports it.,
LEG-04,Deprecated schema field handwriting_detected retained,legacy-code,Low,S,src/image_preprocessing_detector/schema.py,schema.py:1084 field description 'DEPRECATED: use handwriting_assessment.presence_score'; name appears once in src,"Confirm no Project B handoff consumer depends on it, then drop on next schema version bump.",
LEG-05,Commented-out parser code block in template,legacy-code,Low,S,src/image_preprocessing_detector/annotation/parsers/template.py,template.py:244-290 ~12-line commented-out CSV reading stub; accounts for most of the 12 commented-code lines in src,Replace the commented stub with a docstring example or raise NotImplementedError.,
LEG-06,os.path in one file vs stated pathlib standard,legacy-code,Low,S,src/image_preprocessing_detector/utils/metadata_generator.py,"All 5 os.path.join calls in src are in metadata_generator.py (:133,170,281,315,347); CONTRIBUTING.md:166 sets pathlib as standard",Convert this one file to pathlib.Path; rest of codebase already complies.,
LEG-07,Stray % / .format() string formatting outside logging,legacy-code,Low,S,src/image_preprocessing_detector/annotation/schemas/migrations.py,"218 %-style literals but 138 are correct lazy-logging; only ~2 stray manual % plus migrations.py:751,782 .format() worth converting",Convert the stray manual % strings and migrations.py .format() to f-strings; leave logging placeholders.,
CQ-05,"62 ruff errors, 60 are str-Enum modernization (UP042)",code-quality,Low,S,src/image_preprocessing_detector/synthetic/config.py,"ruff --statistics: 60 UP042 replace-str-enum, 1 ASYNC240, 1 FURB171; 61 of 62 auto-fixable","Migrate class X(str, Enum) to enum.StrEnum; investigate the single ASYNC240 blocking-IO-in-async by hand.",
ARCH-08,Orphan CLI module cli_layout.py wired to no entry point,architecture,Low,S,src/image_preprocessing_detector/cli_layout.py,pyproject [project.scripts] declares only imgprep and annotate; cli_layout.py (361 LOC) referenced by no entry point or module,Register cli_layout as a subcommand under imgprep or remove it.,
ARCH-09,Ad-hoc torch.cuda.is_available() bypasses device_probe (6-10 sites),architecture,Low,S,src/image_preprocessing_detector/annotation/enrichment/providers/;src/image_preprocessing_detector/labeling/arena/inference/,"device_probe.py and orchestration/device_orchestrator.py exist, yet docling_layout.py:127,161, yolo.py:103,142, arena/inference/local.py:208,234 use raw torch.cuda.is_available() (merges CQ-07)",Request devices through DeviceOrchestrator/device_probe so GPU-priority and budget policy apply uniformly.,
SEC-04,Expired .snyk ignore for ONNX CVE-2025-51480,security,Low,S,.snyk,".snyk ignore expires 2025-02-22, ~3 months before the 2026-05-29 audit; onnx 1.20.1 in uv.lock",Re-review and re-date the ignore (or remove if a fixed onnx exists); verify save_external_data still unused.,CVE-2025-51480
SEC-06,API key check is not constant-time,security,Low,S,src/image_preprocessing_detector/api/middleware.py,"middleware.py:257 'if api_key not in self.api_keys' set-membership, not timing-safe","Compare with hmac.compare_digest against hashed candidates, or accept as low-risk given high-entropy keys behind TLS.",
CI-05,setup-uv pinned to 4 different versions across workflows,cicd,Low,S,.github/workflows/,"setup-uv@ uses v5 (12), v5.4.2 (3), v4.2.0 (1, codeql.yml:52), v7.6 (1, slsa-provenance.yml:59)",Standardize all workflows on one SHA-pinned setup-uv version (v7.x line); update codeql.yml off v4.2.0.,
CI-07,python-compatibility re-runs pytest overlapping ci.yml matrix,cicd,Low,S,.github/workflows/python-compatibility.yml,python-compatibility.yml:40 tests 3.10-3.13 and :45 runs full pytest; ci.yml:173 matrix already covers 3.10-3.14,"Narrow python-compatibility to versions ci.yml does not cover, or run an import/smoke check.",
LEG-01,"typing.Optional instead of X | None (123 uses, 56 files)",legacy-code,Low,M,src/image_preprocessing_detector/,123 Optional occurrences across 56 of 299 src files (19%); List/Dict/Tuple/Union already at 0; requires-python >=3.10,Migrate Optional[X] to X | None; enable Ruff UP045/UP007 to auto-fix and prevent regression.,
CQ-06,"77 TODO/FIXME/XXX markers, oldest dated 2026-02-22",code-quality,Low,M,src/;tests/;scripts/,"63 TODO, 13 XXX, 1 FIXME; git blame dates oldest to 2026-02-22 (annotation/cli.py:91, ingestion/document_processor.py:88); no HACK",Triage the 13 XXX markers first; convert actionable TODOs to tracked issues.,
CQ-08,58 hand-written to_dict and 15 inline 0-1 clamps; missing helpers,code-quality,Low,M,src/image_preprocessing_detector/,"58 to_dict defs, 15 from_dict, 15 inline max(0,min(1,...)) clamps, 10 normalize helpers; pydantic v2 already provides model_dump",Add one clamp01() util; audit to_dict methods on pydantic models for redundancy with model_dump().,
SEC-05,API upload buffers full body before size check (memory-DoS),security,Low,M,src/image_preprocessing_detector/api/routes/process.py,process.py:323-341 'content = await file.read()' reads full upload before size check; validate_file ignores max-size arg; MIME mismatch only logged,Enforce a Content-Length cap before reading the body and stream to temp file in bounded chunks.,
